question_id,category,question,expected_source,tool_expected,tool_name,citation_expected,escalation_expected,escalation_reason_expected,action_taken_expected,action_type_expected,http_status,latency_ms,correct,citation_present,citation_correct,tool_call_detected,tool_call_correct,actual_escalation_required,actual_escalation_reason,actual_action_taken,actual_action_type,actual_ticket_id,escalation_correct,escalation_reason_correct,escalation_action_correct,escalation_action_type_correct,hallucination_detected,pass_fail,answer,error,notes
LEAVE-001,answerable,How many days of paid annual leave are employees entitled to per calendar year?,leave-policy.md,False,,True,False,,False,,200,17.3,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,Employees are entitled to 18 days of paid annual leave per calendar year.,,
LEAVE-002,answerable,How far in advance do I need to submit a leave request?,leave-policy.md,False,,True,False,,False,,200,0.3,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,Leave requests should normally be submitted at least 3 working days before the intended start date. Requests are submitted through the employee leave portal and require manager approval.,,
LEAVE-003,answerable,Do public holidays reduce my annual leave balance?,leave-policy.md,False,,True,False,,False,,200,0.2,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,Company holidays are separate from annual leave and do not reduce an employee's annual leave balance.,,
LEAVE-004,edge_case,"If I take exactly 3 consecutive days of sick leave, do I need to provide medical documentation?",leave-policy.md,False,,True,False,,False,,200,0.2,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,"For absences longer than three consecutive working days, supporting medical documentation may be required.",,
REIMB-001,answerable,What is the deadline for submitting a reimbursement request after incurring an expense?,reimbursement-policy.md,False,,True,False,,False,,200,0.3,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,"All reimbursement requests must be submitted through the expense management system within 30 days of the expense date. Employees must provide an itemized receipt for expenses above INR 1,000.",,
REIMB-002,edge_case,Do I need a receipt for a business expense of INR 500?,reimbursement-policy.md,False,,True,False,,False,,200,0.2,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,"Employees must provide an itemized receipt for expenses above INR 1,000. Since INR 500 is below this threshold, a receipt is not explicitly required.",,
REIMB-003,answerable,Who reviews and approves expense claims?,reimbursement-policy.md,False,,True,False,,False,,200,0.3,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,Expense claims are reviewed by the employee's manager. Finance may request additional documentation before approving reimbursement.,,
WFH-001,answerable,How many days per week am I allowed to work from home?,work-from-home-policy.md,False,,True,False,,False,,200,0.2,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,"Eligible employees may work from home for up to 3 days per week, subject to team requirements and manager approval. The company may provide approved laptops, monitors, keyboards, and other equipment required for remote work. Employees are responsible for protecting company equipment from unauthorized access.",,
WFH-002,edge_case,Can I set my own working hours while working remotely?,work-from-home-policy.md,False,,True,False,,False,,200,0.3,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,Employees must maintain their normal working schedule while working remotely. An alternative schedule may be used only if it has been approved by the employee's manager.,,
WFH-003,answerable,What equipment can the company provide for remote work?,work-from-home-policy.md,False,,True,False,,False,,200,0.2,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,"Eligible employees may work from home for up to 3 days per week, subject to team requirements and manager approval. The company may provide approved laptops, monitors, keyboards, and other equipment required for remote work. Employees are responsible for protecting company equipment from unauthorized access.",,
SEC-001,answerable,What is the minimum password length required by company policy?,it-security-policy.md,False,,True,False,,False,,200,0.1,True,True,True,False,True,False,,False,,,True,True,True,True,False,PASS,"Passwords should contain at least 12 characters. Passwords should not contain easily guessable information such as the employee's name, date of birth, or company name.",,
VPN-001,knowledge_gap,How do I request VPN access when working remotely?,,False,,False,True,knowledge_gap,True,escalation,200,0.3,,False,,False,True,True,knowledge_gap,True,escalation,TKT-FF001122,True,True,True,True,False,PASS,I don't have sufficient information to answer this. I have escalated this to a human reviewer.,,
LEAVE-005,knowledge_gap,What is the company's policy on maternity or paternity leave?,,False,,False,True,knowledge_gap,True,escalation,200,0.5,,False,,False,True,True,knowledge_gap,True,escalation,TKT-FF001122,True,True,True,True,False,PASS,I don't have sufficient information to answer this. I have escalated this to a human reviewer.,,
OOS-001,out_of_scope,What is the company's annual revenue for the last fiscal year?,,False,,False,True,knowledge_gap,True,escalation,200,0.2,,False,,False,True,True,knowledge_gap,True,escalation,TKT-FF001122,True,True,True,True,False,PASS,I don't have sufficient information to answer this. I have escalated this to a human reviewer.,,
